"";"Otros";"Comercio";"Industria";"Construccion";"Financiero";"Admon Publica";"Agricultura";"Medicina";"Cuarentena";"GastoPublico";"InversionSalud";"Pruebas";"ContactTracing";"PI";"Enforcement";"Tapabocas";"%PoblacionLibre"
"Sector34";0;0;0;0;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,4152018
"Sector44";0;0;0;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,43734
"Sector54";0;0;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,4719837
"Sector64";0;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,575058
"Sector74";1;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,93
"Sector112";0;0;0;0;0;0;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,3251405
"Sector212";0;0;0;0;0;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,359661
"Sector312";0;0;0;0;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,364001
"Sector412";0;0;0;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,3763
"Sector512";0;0;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,3955465
"Sector612";0;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,45281
"Sector712";1;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,65
"Sector122";0;0;0;0;0;0;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,30754215
"Sector222";0;0;0;0;0;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,3178983
"Sector322";0;0;0;0;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,3192003
"Sector422";0;0;0;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,32289
"Sector522";0;0;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,32866395
"Sector622";0;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,345843
"Sector722";1;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,7396;0,405
"Sector15";0;0;0;0;0;0;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,3452529
"Sector25";0;0;0;0;0;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,4073898
"Sector35";0;0;0;0;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,4152018
"Sector45";0;0;0;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,43734
"Sector55";0;0;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,4719837
"Sector65";0;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,575058
"Sector75";1;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,7396;0,93
"Sector113";0;0;0;0;0;0;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,3251405
"Sector213";0;0;0;0;0;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,359661
"Sector313";0;0;0;0;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,364001
"Sector413";0;0;0;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,3763
"Sector513";0;0;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,3955465
"Sector613";0;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,45281
"Sector713";1;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,7396;0,65
